,pert_id,cell_iname,pert_dose_num,pert_time_num
ABY001_A549_XH:BRD-K70511574:0.625:24,BRD-K70511574,A549,0.625,24.0
ABY001_A549_XH:BRD-K70511574:10:24,BRD-K70511574,A549,10.0,24.0
ABY001_A549_XH:BRD-K70511574:2.5:24,BRD-K70511574,A549,2.5,24.0
ABY001_A549_XH:BRD-K81418486:0.625:24,BRD-K81418486,A549,0.625,24.0
ABY001_A549_XH:BRD-K81418486:10:24,BRD-K81418486,A549,10.0,24.0
ABY001_A549_XH:BRD-K81418486:2.5:24,BRD-K81418486,A549,2.5,24.0
ABY001_A549_XH:BRD-K85606544:0.625:24,BRD-K85606544,A549,0.625,24.0
ABY001_A549_XH:BRD-K85606544:10:24,BRD-K85606544,A549,10.0,24.0
ABY001_A549_XH:BRD-K85606544:2.5:24,BRD-K85606544,A549,2.5,24.0
ABY001_PC3_XH:BRD-K70511574:0.625:24,BRD-K70511574,PC3,0.625,24.0
ABY001_PC3_XH:BRD-K70511574:10:24,BRD-K70511574,PC3,10.0,24.0
ABY001_PC3_XH:BRD-K70511574:2.5:24,BRD-K70511574,PC3,2.5,24.0
ABY001_PC3_XH:BRD-K81418486:0.625:24,BRD-K81418486,PC3,0.625,24.0
ABY001_PC3_XH:BRD-K81418486:10:24,BRD-K81418486,PC3,10.0,24.0
ABY001_PC3_XH:BRD-K81418486:2.5:24,BRD-K81418486,PC3,2.5,24.0
ABY001_PC3_XH:BRD-K85606544:0.625:24,BRD-K85606544,PC3,0.625,24.0
ABY001_PC3_XH:BRD-K85606544:10:24,BRD-K85606544,PC3,10.0,24.0
ABY001_PC3_XH:BRD-K85606544:2.5:24,BRD-K85606544,PC3,2.5,24.0
ASG001_MCF7_24H:A05,BRD-K81418486,MCF7,10.0,24.0
ASG001_MCF7_24H:A15,BRD-A13084692,MCF7,10.0,24.0
ASG001_MCF7_24H:B05,BRD-K81418486,MCF7,2.0,24.0
ASG001_MCF7_24H:B15,BRD-A13084692,MCF7,2.0,24.0
ASG001_MCF7_24H:C05,BRD-K81418486,MCF7,0.4,24.0
ASG001_MCF7_24H:C15,BRD-A13084692,MCF7,0.4,24.0
ASG001_MCF7_24H:D15,BRD-A13084692,MCF7,0.08,24.0
ASG001_MCF7_24H:D24,BRD-K81418486,MCF7,0.08,24.0
ASG001_MCF7_24H:E05,BRD-K81418486,MCF7,10.0,24.0
ASG001_MCF7_24H:E15,BRD-A13084692,MCF7,10.0,24.0
ASG001_MCF7_24H:F05,BRD-K81418486,MCF7,2.0,24.0
ASG001_MCF7_24H:F15,BRD-A13084692,MCF7,2.0,24.0
ASG001_MCF7_24H:G05,BRD-K81418486,MCF7,0.4,24.0
ASG001_MCF7_24H:G15,BRD-A13084692,MCF7,0.4,24.0
ASG001_MCF7_24H:H05,BRD-K81418486,MCF7,0.08,24.0
ASG001_MCF7_24H:H15,BRD-A13084692,MCF7,0.08,24.0
ASG001_MCF7_24H:I05,BRD-K81418486,MCF7,10.0,24.0
ASG001_MCF7_24H:I15,BRD-A13084692,MCF7,10.0,24.0
ASG001_MCF7_24H:J05,BRD-K81418486,MCF7,2.0,24.0
ASG001_MCF7_24H:J15,BRD-A13084692,MCF7,2.0,24.0
ASG001_MCF7_24H:K05,BRD-K81418486,MCF7,0.4,24.0
ASG001_MCF7_24H:K15,BRD-A13084692,MCF7,0.4,24.0
ASG001_MCF7_24H:L05,BRD-K81418486,MCF7,0.08,24.0
ASG001_MCF7_24H:M05,BRD-K81418486,MCF7,10.0,24.0
ASG001_MCF7_24H:M15,BRD-A13084692,MCF7,10.0,24.0
ASG001_MCF7_24H:M24,BRD-A13084692,MCF7,0.08,24.0
ASG001_MCF7_24H:N05,BRD-K81418486,MCF7,2.0,24.0
ASG001_MCF7_24H:N15,BRD-A13084692,MCF7,2.0,24.0
ASG001_MCF7_24H:O05,BRD-K81418486,MCF7,0.4,24.0
ASG001_MCF7_24H:O15,BRD-A13084692,MCF7,0.4,24.0
